,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage 0,Total Investment Costs 0,Expected Number of Deaths 0,Expected Annual Damage 1,Total Investment Costs 1,Expected Number of Deaths 1,Expected Annual Damage 2,Total Investment Costs 2,Expected Number of Deaths 2
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0.0,58840144.550849974,0.0,0.0,84600000.0,0.0,0.0,30700000.0,0.0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1079618.1077759694,52519553.37357451,0.00020517302964592806,1157814.8345713725,209.1323907718898,0.00020517302964592806,1244667.1333522336,115300209.13239077,0.00020517302964592806
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1079618.1077759694,89774756.61067659,0.00020517302964592806,1157814.8345713725,209.1323907718898,0.00020517302964592806,1244667.1333522336,30700209.13239077,0.00020517302964592806
3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0.0,49746048.166458994,0.0,0.0,121200000.0,0.0,0.0,115300000.0,0.0
4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1079618.1077759694,52519553.37357451,0.00020517302964592806,1157814.8345713725,209.1323907718898,0.00020517302964592806,0.0,121620800.30966625,0.0
5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0.0,49746048.166458994,0.0,0.0,84600000.0,0.0,0.0,151900000.0,0.0
6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0.0,58840144.550849974,0.0,0.0,115300000.0,0.0,0.0,0.0,0.0
7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0.0,96095347.78795207,0.0,0.0,0.0,0.0,0.0,30700000.0,0.0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1079618.1077759694,120474756.61067659,0.00020517302964592806,1157814.8345713725,209.1323907718898,0.00020517302964592806,1244667.1333522336,209.1323907718898,0.00020517302964592806
9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1079618.1077759694,52519553.37357451,0.00020517302964592806,1157814.8345713725,84600209.13239077,0.00020517302964592806,1244667.1333522336,30700209.13239077,0.00020517302964592806
10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1079618.1077759694,52519553.37357451,0.00020517302964592806,1157814.8345713725,115300209.13239077,0.00020517302964592806,1244667.1333522336,209.1323907718898,0.00020517302964592806
11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,1,0,1,3,0,0,0.0,126795347.78795207,0.0,0.0,0.0,0.0,0.0,6536787.464584451,0.0
12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,3,0,0,3,0,0,0.0,128927955.17489386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1079618.1077759694,83219553.3735745,0.00020517302964592806,1157814.8345713725,209.1323907718898,0.00020517302964592806,1244667.1333522336,84600209.13239077,0.00020517302964592806
14,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0.0,49746048.166458994,0.0,0.0,151900000.0,0.0,0.0,84600000.0,0.0
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1079618.1077759694,89774756.61067659,0.00020517302964592806,1157814.8345713725,209.1323907718898,0.00020517302964592806,0.0,37020800.309666246,0.0
16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0.0,89540144.55084997,0.0,0.0,84600000.0,0.0,0.0,0.0,0.0
17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,1079618.1077759694,52519553.37357451,0.00020517302964592806,0.0,90920800.30966625,0.0,0.0,30700000.0,0.0
18,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0.0,49746048.166458994,0.0,0.0,115300000.0,0.0,0.0,121200000.0,0.0
19,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,1079618.1077759694,52519553.37357451,0.00020517302964592806,0.0,6320800.309666242,0.0,0.0,115300000.0,0.0
20,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0.0,49746048.166458994,0.0,0.0,0.0,0.0,0.0,236500000.0,0.0
21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,1079618.1077759694,52519553.37357451,0.00020517302964592806,0.0,37020800.309666246,0.0,0.0,84600000.0,0.0
22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,1,0,3,0,0,1079618.1077759694,89774756.61067659,0.00020517302964592806,0.0,6320800.309666242,0.0,0.0,30700000.0,0.0
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1079618.1077759694,89774756.61067659,0.00020517302964592806,1157814.8345713725,30700209.13239077,0.00020517302964592806,0.0,6320800.309666242,0.0
24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,1,0,3,0,0,1079618.1077759694,89774756.61067659,0.00020517302964592806,0.0,37020800.309666246,0.0,0.0,0.0,0.0
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1079618.1077759694,120474756.61067659,0.00020517302964592806,1157814.8345713725,209.1323907718898,0.00020517302964592806,0.0,6320800.309666242,0.0
26,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,3,1,0,5,3,0,0,0.0,94226817.21646899,0.0,0.0,30700000.0,0.0,0.0,67171901.0107274,0.0
27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1079618.1077759694,52519553.37357451,0.00020517302964592806,1157814.8345713725,115300209.13239077,0.00020517302964592806,0.0,6320800.309666242,0.0
28,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1079618.1077759694,83219553.3735745,0.00020517302964592806,1157814.8345713725,84600209.13239077,0.00020517302964592806,1244667.1333522336,209.1323907718898,0.00020517302964592806
29,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1079618.1077759694,52519553.37357451,0.00020517302964592806,1157814.8345713725,30700209.13239077,0.00020517302964592806,0.0,90920800.30966625,0.0
30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,1079618.1077759694,52519553.37357451,0.00020517302964592806,0.0,121620800.30966625,0.0,0.0,0.0,0.0
31,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1079618.1077759694,83219553.3735745,0.00020517302964592806,1157814.8345713725,84600209.13239077,0.00020517302964592806,0.0,6320800.309666242,0.0
32,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0.0,89540144.55084997,0.0,0.0,0.0,0.0,0.0,84600000.0,0.0
33,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,3,0,0,2,3,0,0,1079618.1077759694,87906226.03919351,0.00020517302964592806,1157814.8345713725,30700209.13239077,0.00020517302964592806,0.0,63056980.144578755,0.0
34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,1,0,3,0,0,1079618.1077759694,120474756.61067659,0.00020517302964592806,0.0,6320800.309666242,0.0,0.0,0.0,0.0
35,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1079618.1077759694,52519553.37357451,0.00020517302964592806,1157814.8345713725,30700209.13239077,0.00020517302964592806,1244667.1333522336,84600209.13239077,0.00020517302964592806
36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1079618.1077759694,89774756.61067659,0.00020517302964592806,1157814.8345713725,30700209.13239077,0.00020517302964592806,1244667.1333522336,209.1323907718898,0.00020517302964592806
37,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0.0,58840144.550849974,0.0,0.0,0.0,0.0,0.0,115300000.0,0.0
38,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0.0,49746048.166458994,0.0,0.0,236500000.0,0.0,0.0,0.0,0.0
39,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0.0,47877517.59497593,0.0,0.0,30700000.0,0.0,0.0,261524899.92505696,0.0
40,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0.0,49746048.166458994,0.0,0.0,205800000.0,0.0,0.0,30700000.0,0.0
41,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0.0,58840144.550849974,0.0,0.0,30700000.0,0.0,0.0,84600000.0,0.0
42,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,1079618.1077759694,83219553.3735745,0.00020517302964592806,0.0,6320800.309666242,0.0,0.0,84600000.0,0.0
43,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1079618.1077759694,52519553.37357451,0.00020517302964592806,1157814.8345713725,84600209.13239077,0.00020517302964592806,0.0,37020800.309666246,0.0
44,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0,1,3,0,0,1079618.1077759694,50651022.80209144,0.00020517302964592806,1157814.8345713725,115300209.13239077,0.00020517302964592806,0.0,62045700.23472322,0.0
45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0.0,96095347.78795207,0.0,0.0,30700000.0,0.0,0.0,0.0,0.0
46,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1079618.1077759694,83219553.3735745,0.00020517302964592806,1157814.8345713725,209.1323907718898,0.00020517302964592806,0.0,90920800.30966625,0.0
47,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,3,0,0,1,3,7,0,1079618.1077759694,87906226.03919351,0.00020517302964592806,1157814.8345713725,79580683.81222358,0.00020517302964592806,0.0,62045700.23472322,0.0
48,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,1079618.1077759694,83219553.3735745,0.00020517302964592806,0.0,90920800.30966625,0.0,0.0,0.0,0.0
49,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0.0,49746048.166458994,0.0,0.0,30700000.0,0.0,0.0,205800000.0,0.0
50,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1,3,7,0,1079618.1077759694,87906185.24253395,0.00025646628705741013,1157814.8345713725,79580643.01556402,0.00025646628705741013,0.0,37020800.309666246,0.0
51,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1079618.1077759694,50651022.80209144,0.00020517302964592806,1157814.8345713725,115300209.13239077,0.00020517302964592806,1244667.1333522336,30700209.13239077,0.00020517302964592806
52,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1079618.1077759694,50650982.005431876,0.00025646628705741013,1157814.8345713725,115300168.33573121,0.00025646628705741013,0.0,37020800.309666246,0.0
53,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1079618.1077759694,50651022.80209144,0.00020517302964592806,0.0,121620800.30966625,0.0,0.0,30700000.0,0.0
54,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,30351526.042379983,0.0,0.0,115300000.0,0.0,0.0,151900000.0,0.0
55,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,1,0,2,3,0,0,0.0,56971613.97936691,0.0,0.0,78542699.5631001,0.0,0.0,122882623.67425247,0.0
